"Name","Platform"
"Driver da Microsoft para arquivos texto (*.txt; *.csv)","32-bit"
"Driver do Microsoft Access (*.mdb)","32-bit"
"Driver do Microsoft dBase (*.dbf)","32-bit"
"Driver do Microsoft Excel(*.xls)","32-bit"
"Driver do Microsoft Paradox (*.db )","32-bit"
"Microsoft Access Driver (*.mdb)","32-bit"
"Microsoft Access-Treiber (*.mdb)","32-bit"
"Microsoft dBase Driver (*.dbf)","32-bit"
"Microsoft dBase-Treiber (*.dbf)","32-bit"
"Microsoft Excel Driver (*.xls)","32-bit"
"Microsoft Excel-Treiber (*.xls)","32-bit"
"Microsoft ODBC for Oracle","32-bit"
"Microsoft Paradox Driver (*.db )","32-bit"
"Microsoft Paradox-Treiber (*.db )","32-bit"
"Microsoft Text Driver (*.txt; *.csv)","32-bit"
"Microsoft Text-Treiber (*.txt; *.csv)","32-bit"
"SQL Server","32-bit"
"Microsoft Access Driver (*.mdb, *.accdb)","32-bit"
"Microsoft Excel Driver (*.xls, *.xlsx, *.xlsm, *.xlsb)","32-bit"
"Microsoft Access Text Driver (*.txt, *.csv)","32-bit"
"Microsoft Access dBASE Driver (*.dbf, *.ndx, *.mdx)","32-bit"
"SQL Server","64-bit"
