"DisplayName","DisplayVersion","Publisher","InstallLocation"
"Adobe Acrobat (64-bit)","26.001.21691","Adobe","C:\Program Files\Adobe\Acrobat DC\"
"Armoury Crate Service","6.5.14.0","ASUSTeK COMPUTER INC.",
"ASUS Framework Service","4.2.5.4","ASUSTeK Computer Inc.","C:\Program Files (x86)\ASUS\ArmouryDevice"
"AURA lighting effect add-on","0.0.60","ASUSTek COMPUTER INC.",""
"AURA lighting effect add-on x64","0.0.60","ASUSTek COMPUTER INC.",""
"AURA Service","3.10.12","ASUSTeK COMPUTER INC.",
"Comet","152.0.7977.199","The Comet Authors","C:\Users\PPCCpcpc\AppData\Local\Perplexity\Comet\Application"
"DuckDB CLI","1.5.5","DuckDB","C:\Users\PPCCpcpc\AppData\Local\Microsoft\WinGet\Packages\DuckDB.cli_Microsoft.Winget.Source_8wekyb3d8bbwe"
"FlashCenter","3.9.2.6","Chongqing Zhongcheng Network Technology Co., Ltd",
"Git","2.55.0.5","The Git Development Community","C:\Program Files\Git\"
"GitHub Desktop","3.6.6","GitHub, Inc.","C:\Users\PPCCpcpc\AppData\Local\GitHubDesktop"
"Google Chrome","153.0.8010.53","Google LLC","C:\Program Files\Google\Chrome\Application"
"Kaspersky Security Center 网络代理","16.2.0.1023","卡巴斯基","C:\Program Files (x86)\Kaspersky Lab\NetworkAgent\"
"Kaspersky Endpoint Security for Windows","14.1.0.423","AO Kaspersky Lab","C:\Program Files (x86)\Kaspersky Lab\KES.14.1.0\"
"Kimi","3.1.4",,
"Microsoft .NET Runtime - 8.0.31 (x64)","8.0.31.36420","Microsoft Corporation",
"Microsoft Edge","150.0.4078.105","Microsoft Corporation","C:\Program Files (x86)\Microsoft\Edge\Application"
"Microsoft Office 专业增强版 2016  - zh-cn","16.0.19127.20800","Microsoft Corporation","C:\Program Files (x86)\Microsoft Office"
"Microsoft OneDrive","26.158.0816.0003","Microsoft Corporation",
"Microsoft Update Health Tools","3.74.0.0","Microsoft Corporation",""
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438","14.42.34438.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438","14.42.34438.0","Microsoft Corporation",
"Microsoft Windows Application Compatibility Fix Database",,,
"Mozilla Firefox (x64 zh-CN)","153.0.1","Mozilla","C:\Program Files\Mozilla Firefox"
"Mozilla Maintenance Service","153.0.1","Mozilla",
"NVIDIA 3D Vision 驱动程序 391.35","391.35","NVIDIA Corporation","C:\Program Files (x86)\NVIDIA Corporation\3D Vision"
"NVIDIA HD 音频驱动程序 1.3.38.35","1.3.38.35","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{B282C878-F158-4113-A62C-11A4B34F8CDD}"
"NVIDIA 图形驱动程序 391.35","391.35","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{3AA2C2B2-0003-4B16-92DE-65A44626AFCF}"
"Positron (User)","2026.09.1","Posit Software, PBC","C:\Users\PPCCpcpc\AppData\Local\Programs\Positron\"
"PotPlayer-64 bit","220302","Kakao Corp.",
"PyCharm 2026.1.5","261.27258.51","JetBrains s.r.o.","C:\Program Files\JetBrains\PyCharm 2026.1.3"
"Python 3.14.7 (64-bit)","3.14.7150.0","Python Software Foundation",
"Python Launcher","3.14.7150.0","Python Software Foundation",""
"Quarto","1.10.18","Posit Software, PBC",""
"R for Windows 4.6.1","4.6.1","R Core Team","C:\Program Files\R\R-4.6.1\"
"ROG Live Service","3.5.11.0","ASUSTek COMPUTER INC.",""
"RStudio","2026.09.0+174","Posit Software","C:\Program Files\RStudio"
"Rtools 4.5 (6768-6492)","4.5.6768","The R Foundation","C:\rtools45\"
"TortoiseSVN 1.14.9.29743 (64 bit)","1.14.29743","TortoiseSVN",""
"Update for x64-based Windows Systems (KB5001716)","8.94.0.0","Microsoft Corporation",""
"WinRAR 7.23 (64-位)","7.23.0","win.rar GmbH","C:\Program Files\WinRAR"
"WPS Office 2019 增强版 (11.8.2.12330)","11.8.2.12330","Kingsoft Corp.",
"YeeChat 4.95.20","4.95.20",,
"微软OfficePLUS","4.2.0.7275","Microsoft Corporation","C:\Program Files\Microsoft OfficePLUS"
"亿赛通电子文档安全管理系统-客户端","5.2.0","北京亿赛通科技发展有限责任公司","C:\Program Files\EsafeNet\Cobra DocGuard Client\"
